column,category,name,abbreviation,description
ballRecovery,defensive,ballRecovery,BREC,"When a player takes possession of a loose ball, or switch of possession between teams when the ball is in open play"
blockedShots,defensive,blockedShots,SHBLK,The number shots blocked by a defender.
defensiveInterventions,defensive,defensiveInterventions,DINT,"The sum of ball recoveries, won tackles, effective clearances, outfielder blocks, blocked crosses, and defensive third duels won."
effectiveClearance,defensive,effectiveClearance,EFFCL,The number of clearances that stops the attack of the opposing team.
effectiveTackles,defensive,effectiveTackles,TKLW,The number of tackles where the player wins the ball.
inneffectiveTackles,defensive,inneffectiveTackles,TKLL,The number of tackles where the player doesn't win the ball.
interceptions,defensive,interceptions,INT,The number of interceptions.
outfielderBlock,defensive,outfielderBlock,OBLK,Defender blocks a shot
possWonAtt3rd,defensive,possWonAtt3rd,PWAT,Total number of times possession was regained in the attacking third of the field
possWonDef3rd,defensive,possWonDef3rd,PWDT,Total number of times possession was regained in the defensive third of the field
possWonMid3rd,defensive,possWonMid3rd,PWMT,Total number of times possession was regained in the midfield third of the field
tacklePct,defensive,tacklePct,TACKL%,The perencentage of tackles where the player wins the ball.
timesTackled,defensive,timesTackled,TKTM,The total number of times a player has been tackled.
totalClearance,defensive,totalClearance,CLR,The number of clearances attempted.
totalTackles,defensive,totalTackles,TOT,The number of tackles attempted.
aerialDuelPct,general,aerialDuelPct,ADUEL%,Percentage of aerial duels won against total contested duels.
aerialsLost,general,aerialsLost,AERL,Total number of duels where the ball is in the air and possession is lost
aerialsWon,general,aerialsWon,AERW,Total number of duels where the ball is in the air and possession is won
appearances,general,appearances,APP,The number of times a player has made an appearance in a match.
avgRatingFromCorrespondent,general,avgRatingFromCorrespondent,RTG,The rating from a correspondent for a player.
avgRatingFromDataFeed,general,avgRatingFromDataFeed,RTG,The rating from the data feed for a player.
avgRatingFromEditor,general,avgRatingFromEditor,RTG,The rating from the editor(s) for a player.
avgRatingFromUser,general,avgRatingFromUser,RTG,The average user rating for a player.
dnp,general,dnp,DNP,The number of times a player did not play in a match.
draws,general,draws,D,The number of times the scored ended even for both teams in a match and there was no extra time.
duelWinPct,general,duelWinPct,Duel Win %,The percentage of duels won.
duels,general,duels,DUEL,Total number of direct player-on-player confrontations for possession of the ball (aerial + ground duels)
duelsLost,general,duelsLost,DUELL,Total number of duels over the possession of the ball where a player loses the ball - doesn't include 'overrun' situations where the attacking player takes on an opponent but the ball runs away from them out of play or to an opponent.
duelsWon,general,duelsWon,DUELW,Total number of duels for possession of the ball where possession was won (aerial won + ground duels won)
foulsCommitted,general,foulsCommitted,FC,The number of fouls comitted by a player or team.
foulsSuffered,general,foulsSuffered,FA,The number of fouls suffered by a player or team.
goalDifference,general,goalDifference,GD,The difference of goals scored and goals conceded.
groundDuels,general,groundDuels,GDUEL,"Total number of duels over possession where ball is on the ground; including total contests, total tackles, fouls, being fouled, dispossessions and lost challenges - doesn't include 'overrun' situations where the attacking player takes on an opponent but the ball runs away from them out of play or to an opponent."
groundDuelsWon,general,groundDuelsWon,GDUELW,"Total number of duels where possession is won and ball is on the ground; including total contests, total tackles, fouls, being fouled, dispossessions and lost challenges."
handBalls,general,handBalls,HAND,The number of handball fouls committed..
losses,general,losses,L,The number of times a team has lost a match.
lostCorners,general,lostCorners,CC,The number of corners conceded to the opposing team.
minutes,general,minutes,MIN,The number of minutes played by a player.
ownGoals,general,ownGoals,OG,The number of own goals conceded.
passPct,general,passPct,PASS%,The percentage of passes that result in the ball finding its target.
redCards,general,redCards,RC,The number of red cards that have been issued.
starts,general,starts,STRT,The number of starts a player has made in matches.
subIns,general,subIns,SUB,The number of times a player has come on a sub in a match.
subOuts,general,subOuts,FGA,The number of times a player has been subbed off in a match.
suspensions,general,suspensions,FGA,The number of matches a player has been suspended.
timeEnded,general,timeEnded,FGA,The time a match ends.
timeStarted,general,timeStarted,FGA,The time a match starts.
totalContest,general,totalContest,TCNT,"A dribble past a player is attempted (contests always involve two players) – it does not include 'overrun' situations (where the attacking player takes on an opponent, but the ball runs away from them and then out of play or to an opponent) or 'defensive 1v1' situations (where the attacking player attempts a dribble but is stopped by the defender but without a tackle occurring)"
touches,general,touches,TCH,Total sum of a player's or team's on-the-ball events
turnover,general,turnover,TO,An unsuccessful touch. A player only touched the ball and lost possession – bad control
winPct,general,winPct,W%,The percentage of matches won.
wins,general,wins,WINS,The number of matches won.
wonContest,general,wonContest,CNTW,Total dribbles where a team player beats an opponent – no over-runs or defensive 1v1s
wonCorners,general,wonCorners,CW,The number of corners won.
yellowCards,general,yellowCards,YC,The number of yellow cards accumulated.
accurateKeeperSweeper,goalKeeping,accurateKeeperSweeper,AKSW,"Goalkeeper comes off their line, wins the ball and wins possession for their team"
bigChanceSaves,goalKeeping,bigChanceSaves,BCS,Count of major scoring chances saved by the player (usually goalkeepers)
cleanSheet,goalKeeping,cleanSheet,CS,The number of times a goalkeeper doesn't let in a goal.
crossesCaught,goalKeeping,crossesCaught,CC,The number of crosses claimed.
expectedGoalsConceded,goalKeeping,expectedGoalsConceded,xGC,Total Expected Goals Against
expectedGoalsNonPenaltyConceded,goalKeeping,expectedGoalsNonPenaltyConceded,xGNPC,Total Expected Goals Against excluding penalties
expectedGoalsOnTargetConceded,goalKeeping,expectedGoalsOnTargetConceded,xGOTC,Total Expected Goals on Target Against
expectedGoalsOnTargetNonPenaltyConceded,goalKeeping,expectedGoalsOnTargetNonPenaltyConceded,xGOTNPC,Total Expected Goals on Target Against excluding penalties
expectedGoalsPrevented,goalKeeping,expectedGoalsPrevented,xGP,The difference between expected goals on target (xGOT) conceded and actual goals conceded by a goalkeeper.
goalsConceded,goalKeeping,goalsConceded,GA,The number of goals allowed by the goalkeeper.
goalsPrevented,goalKeeping,goalsPrevented,GP,The difference between goals on target and actual goals conceded by a goalkeeper.
goodHighClaim,goalKeeping,goodHighClaim,GHC,Goalkeeper catches a cross
partialCleenSheet,goalKeeping,partialCleenSheet,FGA,The number of times a clean sheet is kept when playing at least a part of the game.
penaltyKickConceded,goalKeeping,penaltyKickConceded,PKC,The number of goals allowed when the opposing team take a penalty.
penaltyKickSavePct,goalKeeping,penaltyKickSavePct,PK%,The percentage of penalty kicks a goalkeeper saves.
penaltyKicksFaced,goalKeeping,penaltyKicksFaced,PK,The number of penalty kicks faced by a goalkeeper.
penaltyKicksSaved,goalKeeping,penaltyKicksSaved,PKS,The number of penalty kicks saved by a goalkeeper.
punches,goalKeeping,punches,P,The number of punches.
savePct,goalKeeping,savePct,SV%,The percentage of shots on target that are saved by a goalkeeper.
saves,goalKeeping,saves,SV,The number of times a goalkeeper makes a save.
shootOutKicksFaced,goalKeeping,shootOutKicksFaced,PSF,The number of penalty kicks faced in a penalty shootout.
shootOutKicksSaved,goalKeeping,shootOutKicksSaved,PSS,The number of penalty kicks saved in a penalty shootout.
shootOutSavePct,goalKeeping,shootOutSavePct,PSS%,The percentage of penalty kicks saved in a penalty shootout.
shotsFaced,goalKeeping,shotsFaced,SHF,The number of shots on target a goalkeeper has faced.
shotsOnGoalAgainst,goalKeeping,shotsOnGoalAgainst,SOGA,The number of shots on goal the opposing team has had against this team
smothers,goalKeeping,smothers,SM,The number of smothers.
totalKeeperSweeper,goalKeeping,totalKeeperSweeper,KS,Goalkeeper attempts to come off their line and win possession of the ball
unclaimedCrosses,goalKeeping,unclaimedCrosses,UC,The number of crosses that were unclaimed.
accurateCrosses,offensive,accurateCrosses,AC.CRSS,The number of crosses that find their target.
accurateLongBalls,offensive,accurateLongBalls,AC.LONG,The number of longballs that are completed.
accuratePasses,offensive,accuratePasses,AC.PASS,The number of passes completed.
accurateThroughBalls,offensive,accurateThroughBalls,AC.THRU,The number of through balls that find their target.
attemptsInBox,offensive,attemptsInBox,AIB,The number of attempts from in the box.
attemptsOutBox,offensive,attemptsOutBox,AOB,The number of attempts from out of the box.
bigChanceCreated,offensive,bigChanceCreated,BCC,"A pass which led to a clear-cut scoring opportunity, such as a one-on-one situation or a shot from just a few yards out"
bigChanceMissed,offensive,bigChanceMissed,BCM,A clear-cut scoring opportunity which was not converted/scored
crossPct,offensive,crossPct,FGA,The percentage of crosses that find their target.
expectedAssists,offensive,expectedAssists,xA,Total Expected Assists
expectedAssistsOpenPlay,offensive,expectedAssistsOpenPlay,xAOP,Total Expected Assists from open play
expectedAssistsSetPlay,offensive,expectedAssistsSetPlay,xASP,Total Expected Assists from set pieces
expectedGoals,offensive,expectedGoals,xG,Total expected goals
expectedGoalsFreeKick,offensive,expectedGoalsFreeKick,xGFK,Total Expected Goals of all free kick shots
expectedGoalsNonPenalty,offensive,expectedGoalsNonPenalty,xGNP,Total Expected Goals excluding penalties
expectedGoalsOnTarget,offensive,expectedGoalsOnTarget,xGOT,Total Expected Goals on Target
expectedGoalsOnTargetFreeKick,offensive,expectedGoalsOnTargetFreeKick,xGOTFK,Total Expected Goals on Target from free kick shots
expectedGoalsOnTargetNonPenalty,offensive,expectedGoalsOnTargetNonPenalty,xGOTNP,Total Expected Goals on Target excluding penalties
expectedGoalsOpenPlay,offensive,expectedGoalsOpenPlay,xGOP,Total Expected Goals of all open play shots
expectedGoalsSetPlay,offensive,expectedGoalsSetPlay,xGSP,Total Expected Goals of all set play shots
finalThirdEntries,offensive,finalThirdEntries,FTE,A pass where the ball moves from outside the final third into the final third
freeKickGoals,offensive,freeKickGoals,FKG,The number goals scored from free kick shots.
freeKickPct,offensive,freeKickPct,FKG%,The percentage of free kick shots that .
freeKickShots,offensive,freeKickShots,FKS,The number of free kick shots attempted.
gameWinningAssists,offensive,gameWinningAssists,GWAST,The number of game winning assists.
gameWinningGoals,offensive,gameWinningGoals,GWG,The number of game winning goals.
goalAssists,offensive,goalAssists,A,The number of assists.
headedGoals,offensive,headedGoals,HEADG,The number of goals scored from headers.
inaccurateCrosses,offensive,inaccurateCrosses,INCRSS,The number of times a cross was attempted and failed to find its target.
inaccurateLongBalls,offensive,inaccurateLongBalls,FGA,The number of times a long ball was attempted and failed to be completed
inaccuratePasses,offensive,inaccuratePasses,FGA,The number of times a pass was attempted and failed to find its target.
inaccurateThroughBalls,offensive,inaccurateThroughBalls,FGA,The number of times a through ball was attempted and failed to be completed.
leftFootedShots,offensive,leftFootedShots,LFTSH,The number of shots attempted with a player's left foot.
longballPct,offensive,longballPct,FGA,The percentage of long balls attempted that find their target.
offsides,offensive,offsides,OF,The number of times a player or team gets caught offside.
penAreaEntries,offensive,penAreaEntries,PAE,A pass where the ball moves from outside to inside the penalty area
penaltyKickGoals,offensive,penaltyKickGoals,PKG,The number of goals scored from the penalty spot.
penaltyKickPct,offensive,penaltyKickPct,FGA,The percentage of penalty kicks converted.
penaltyKickShots,offensive,penaltyKickShots,PKA,The number of penalty kicks attempted.
penaltyKicksMissed,offensive,penaltyKicksMissed,PKM,The number of penalty kicks missed.
progressiveCarries,offensive,progressiveCarries,PRGC,Carries that significantly move the ball toward the opponent’s goal
rightFootedShots,offensive,rightFootedShots,RGHTSH,The number of shots attempted with the right foot.
secondAssists,offensive,secondAssists,2NDAST,The number of assists to the player who assisted a goal.
shootOutGoals,offensive,shootOutGoals,PSG,The number of penalty kicks converted in penalty shootouts.
shootOutMisses,offensive,shootOutMisses,PSM,The number of penalty kicks missed in penalty shootouts.
shootOutPct,offensive,shootOutPct,PS%,The percentage of penalty kicks in a penalty shootout that are converted.
shotAssists,offensive,shotAssists,SHAST,The number of passes that directly result in a shot.
shotPct,offensive,shotPct,SOT%,The percentage of shots that are on target.
shotsHeaded,offensive,shotsHeaded,HEADSH,The number of shots attempted with the head.
shotsOffTarget,offensive,shotsOffTarget,SHOFF,The number shots attempted that miss the goal.
shotsOnPost,offensive,shotsOnPost,PSTSH,The number of shots that hit the post.
shotsOnTarget,offensive,shotsOnTarget,SOG,The number of shots that are on goal.
successfulFinalThirdPasses,offensive,successfulFinalThirdPasses,SFTP,"Total number of successful passes where the ball ends in the final third of the pitch (excludes throw-ins, keeper throws, and crosses)"
throughBallPct,offensive,throughBallPct,FGA,The percentage of through balls played that find their target.
totalCrosses,offensive,totalCrosses,CROSS,The number of crosses attempted.
totalFinalThirdPasses,offensive,totalFinalThirdPasses,TFTP,"Total number of passes (successful or unsuccessful) where ball ends in the final third of the pitch (excludes throw-ins, keeper throws, and crosses)"
totalGoals,offensive,totalGoals,G,The number of goals scored against the opposing team.
totalLongBalls,offensive,totalLongBalls,FGA,The number of long balls attempted.
totalPasses,offensive,totalPasses,PASS,The number of passes attempted.
totalShots,offensive,totalShots,SHOT,The number of shots attempted.
totalThroughBalls,offensive,totalThroughBalls,THRU,The number of through balls attempted.
touchesInOppBox,offensive,touchesInOppBox,TOOB,Total touches inside the penalty area of the opposition
